GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
filmek,hu.unideb.webdev.controller,CategoryController,96,0,0,0,31,0,7,0,7,0
filmek,hu.unideb.webdev.controller,FilmCategoryController,96,0,0,0,31,0,7,0,7,0
filmek,hu.unideb.webdev.controller,ActorController,96,0,0,0,30,0,7,0,7,0
filmek,hu.unideb.webdev.controller,FilmActorController,96,0,0,0,30,0,7,0,7,0
filmek,hu.unideb.webdev.controller,FilmController,259,0,8,0,79,0,11,0,7,0
filmek,hu.unideb.webdev.controller,LanguageController,85,0,0,0,25,0,7,0,7,0
filmek,hu.unideb.webdev.config,SwaggerConfig,68,0,0,0,14,0,4,0,4,0
filmek,hu.unideb.webdev.dao.entity,FilmEntity,524,0,90,0,17,0,76,0,31,0
filmek,hu.unideb.webdev.dao.entity,LanguageEntity,111,0,16,0,7,0,19,0,11,0
filmek,hu.unideb.webdev.dao.entity,FilmCategoryEntity.FilmCategoryEntityBuilder,18,0,0,0,1,0,4,0,4,0
filmek,hu.unideb.webdev.dao.entity,FilmActorEntity.FilmActorEntityBuilder,18,0,0,0,1,0,4,0,4,0
filmek,hu.unideb.webdev.dao.entity,CategoryEntitiy.CategoryEntitiyBuilder,27,0,0,0,1,0,5,0,5,0
filmek,hu.unideb.webdev.dao.entity,FilmCategoryEntity.Key.KeyBuilder,27,0,0,0,1,0,5,0,5,0
filmek,hu.unideb.webdev.dao.entity,FilmActorEntity,85,0,14,0,6,0,16,0,9,0
filmek,hu.unideb.webdev.dao.entity,FilmEntity.FilmEntityBuilder,117,0,0,0,1,0,15,0,15,0
filmek,hu.unideb.webdev.dao.entity,LanguageEntity.LanguageEntityBuilder,27,0,0,0,1,0,5,0,5,0
filmek,hu.unideb.webdev.dao.entity,ActorEntity.ActorEntityBuilder,36,0,0,0,1,0,6,0,6,0
filmek,hu.unideb.webdev.dao.entity,FilmActorEntity.Key.KeyBuilder,27,0,0,0,1,0,5,0,5,0
filmek,hu.unideb.webdev.dao.entity,FilmCategoryEntity.Key,128,0,22,0,7,0,22,0,11,0
filmek,hu.unideb.webdev.dao.entity,FilmActorEntity.Key,128,0,22,0,7,0,22,0,11,0
filmek,hu.unideb.webdev.dao.entity,CategoryEntitiy,111,0,16,0,7,0,19,0,11,0
filmek,hu.unideb.webdev.dao.entity,ActorEntity,171,0,30,0,8,0,28,0,13,0
filmek,hu.unideb.webdev.dao.entity,FilmCategoryEntity,85,0,14,0,6,0,16,0,9,0
filmek,hu.unideb.webdev,App,12,0,0,0,4,0,3,0,3,0
filmek,hu.unideb.webdev.service,FilmCategoryServiceImpl,30,0,0,0,9,0,6,0,6,0
filmek,hu.unideb.webdev.service,LanguageServiceImpl,30,0,0,0,9,0,6,0,6,0
filmek,hu.unideb.webdev.service,FilmServiceImpl,35,0,0,0,11,0,7,0,7,0
filmek,hu.unideb.webdev.service,CategoryServiceImpl,30,0,0,0,9,0,6,0,6,0
filmek,hu.unideb.webdev.service,ActorServiceImpl,30,0,0,0,9,0,6,0,6,0
filmek,hu.unideb.webdev.service,FilmActorServiceImpl,30,0,0,0,9,0,6,0,6,0
filmek,hu.unideb.webdev.model,Language.LanguageBuilder,18,0,0,0,1,0,4,0,4,0
filmek,hu.unideb.webdev.model,Language,78,0,14,0,5,0,14,0,7,0
filmek,hu.unideb.webdev.model,Actor.ActorBuilder,27,0,0,0,1,0,5,0,5,0
filmek,hu.unideb.webdev.model,Actor,117,0,22,0,6,0,19,0,8,0
filmek,hu.unideb.webdev.model,Rating,6,67,0,0,2,9,2,2,2,2
filmek,hu.unideb.webdev.model,FilmActor.FilmActorBuilder,27,0,0,0,1,0,5,0,5,0
filmek,hu.unideb.webdev.model,Film,345,33,68,0,13,1,49,1,15,1
filmek,hu.unideb.webdev.model,Category,100,0,16,0,6,0,16,0,8,0
filmek,hu.unideb.webdev.model,Category.CategoryBuilder,27,0,0,0,1,0,5,0,5,0
filmek,hu.unideb.webdev.model,FilmCategory,117,0,22,0,6,0,19,0,8,0
filmek,hu.unideb.webdev.model,FilmCategory.FilmCategoryBuilder,27,0,0,0,1,0,5,0,5,0
filmek,hu.unideb.webdev.model,Film.FilmBuilder,99,0,0,0,1,0,13,0,13,0
filmek,hu.unideb.webdev.model,FilmActor,117,0,22,0,6,0,19,0,8,0
filmek,hu.unideb.webdev.dao,LanguageDaoImpl,152,0,4,0,37,0,11,0,9,0
filmek,hu.unideb.webdev.dao,ActorDaoImpl,183,0,12,0,41,0,15,0,9,0
filmek,hu.unideb.webdev.dao,StringListConverter,20,0,4,0,3,0,5,0,3,0
filmek,hu.unideb.webdev.dao,FilmCategoryDaoImpl,272,0,16,0,52,0,21,0,13,0
filmek,hu.unideb.webdev.dao,FilmActorDaoImpl,274,0,16,0,51,0,21,0,13,0
filmek,hu.unideb.webdev.dao,CategoryDaoImpl,182,0,12,0,41,0,15,0,9,0
filmek,hu.unideb.webdev.dao,FilmDaoImpl,411,0,20,0,119,0,25,0,13,0
filmek,hu.unideb.webdev.exceptions,UnknownLanguageException,89,0,14,0,10,0,16,0,9,0
filmek,hu.unideb.webdev.exceptions,UnknownActorException,89,0,14,0,10,0,16,0,9,0
filmek,hu.unideb.webdev.exceptions,UnknownFilmException,90,0,14,0,10,0,16,0,9,0
filmek,hu.unideb.webdev.exceptions,UnknownCategoryException,89,0,14,0,10,0,16,0,9,0
filmek,hu.unideb.webdev.dao.entity.compositekeys,FilmActorEntityCompositKeys,3,0,0,0,1,0,1,0,1,0
filmek,hu.unideb.webdev.dao.entity.compositekeys,FilmCategoryEntityCompositeKeys,3,0,0,0,1,0,1,0,1,0
filmek,hu.unideb.webdev.controller.dto,ActorUpdateDto.ActorUpdateDtoBuilder,23,0,0,0,1,0,4,0,4,0
filmek,hu.unideb.webdev.controller.dto,FilmCategoryDto.FilmCategoryDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
filmek,hu.unideb.webdev.controller.dto,CategoryDto,123,0,16,0,6,0,20,0,12,0
filmek,hu.unideb.webdev.controller.dto,FilmActorUpdateDto.FilmActorUpdateDtoBuilder,23,0,0,0,1,0,4,0,4,0
filmek,hu.unideb.webdev.controller.dto,FilmActorDto.FilmActorDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
filmek,hu.unideb.webdev.controller.dto,FilmDto,465,0,68,0,14,0,62,0,28,0
filmek,hu.unideb.webdev.controller.dto,ActorDto.ActorDtoBuilder,21,0,0,0,1,0,4,0,4,0
filmek,hu.unideb.webdev.controller.dto,ActorDto,140,0,22,0,6,0,23,0,12,0
filmek,hu.unideb.webdev.controller.dto,FilmCategoryDto.FilmCategoryDtoBuilder,21,0,0,0,1,0,4,0,4,0
filmek,hu.unideb.webdev.controller.dto,FilmUpdateDto.FilmUpdateDtoBuilder,87,0,0,0,1,0,12,0,12,0
filmek,hu.unideb.webdev.controller.dto,ActorDto.ActorDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
filmek,hu.unideb.webdev.controller.dto,LanguageDto,93,0,14,0,5,0,17,0,10,0
filmek,hu.unideb.webdev.controller.dto,LanguageUpdateDto.LanguageUpdateDtoBuilder,15,0,0,0,1,0,3,0,3,0
filmek,hu.unideb.webdev.controller.dto,LanguageUpdateDto,94,0,14,0,5,0,17,0,10,0
filmek,hu.unideb.webdev.controller.dto,FilmActorUpdateDto.FilmActorUpdateDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
filmek,hu.unideb.webdev.controller.dto,FilmDto.FilmDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
filmek,hu.unideb.webdev.controller.dto,FilmDto.FilmDtoBuilder,85,0,0,0,1,0,12,0,12,0
filmek,hu.unideb.webdev.controller.dto,LanguageDto.LanguageDtoBuilder,13,0,0,0,1,0,3,0,3,0
filmek,hu.unideb.webdev.controller.dto,FilmActorDto.FilmActorDtoBuilder,21,0,0,0,1,0,4,0,4,0
filmek,hu.unideb.webdev.controller.dto,CategoryUpdateDto.CategoryUpdateDtoBuilder,23,0,0,0,1,0,4,0,4,0
filmek,hu.unideb.webdev.controller.dto,CategoryUpdateDto.CategoryUpdateDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
filmek,hu.unideb.webdev.controller.dto,FilmCategoryUpdateDto.FilmCategoryUpdateDtoBuilder,23,0,0,0,1,0,4,0,4,0
filmek,hu.unideb.webdev.controller.dto,FilmCategoryUpdateDto.FilmCategoryUpdateDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
filmek,hu.unideb.webdev.controller.dto,LanguageDto.LanguageDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
filmek,hu.unideb.webdev.controller.dto,CategoryDto.CategoryDtoBuilder,21,0,0,0,1,0,4,0,4,0
filmek,hu.unideb.webdev.controller.dto,FilmActorUpdateDto,141,0,22,0,6,0,23,0,12,0
filmek,hu.unideb.webdev.controller.dto,FilmCategoryUpdateDto,141,0,22,0,6,0,23,0,12,0
filmek,hu.unideb.webdev.controller.dto,FilmUpdateDto,466,0,68,0,14,0,62,0,28,0
filmek,hu.unideb.webdev.controller.dto,LanguageUpdateDto.LanguageUpdateDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
filmek,hu.unideb.webdev.controller.dto,FilmUpdateDto.FilmUpdateDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
filmek,hu.unideb.webdev.controller.dto,ActorUpdateDto.ActorUpdateDtoBuilderImpl,7,0,0,0,1,0,2,0,2,0
filmek,hu.unideb.webdev.controller.dto,FilmCategoryDto,140,0,22,0,6,0,23,0,12,0
filmek,hu.unideb.webdev.controller.dto,CategoryUpdateDto,124,0,16,0,6,0,20,0,12,0
filmek,hu.unideb.webdev.controller.dto,ActorUpdateDto,141,0,22,0,6,0,23,0,12,0
